date_week,y,x1,x2,event_1,event_2,dayofyear,t
4/2/2018,3984.662237343649,0.3185800179359486,0,0,0,92,0
4/9/2018,3762.8717941170457,0.1123884764420599,0,0,0,99,1
4/16/2018,4466.967388435149,0.2924002662869313,0,0,0,106,2
4/23/2018,3864.219372661741,0.0713985525750841,0,0,0,113,3
4/30/2018,4441.625277747415,0.3867451535946977,0,0,0,120,4
5/7/2018,3677.396550177613,0.0471709861239335,0,0,0,127,5
5/14/2018,5067.546336868544,0.4242491048456278,0,0,0,134,6
5/21/2018,6079.099042190235,0.3339201745242034,0.8797818351192218,0,0,141,7
5/28/2018,4954.205368585605,0.2530702847317296,0,0,0,148,8
6/4/2018,5865.6765762742925,0.9380544157922964,0,0,0,155,9
6/11/2018,5096.6330505085725,0.4252050727940623,0,0,0,162,10
6/18/2018,4991.542283144343,0.3631429770782352,0,0,0,169,11
6/25/2018,4688.584844704346,0.4414946962947031,0,0,0,176,12
7/2/2018,6536.34574051577,0.4231116264841024,0.9641868797648888,0,0,183,13
7/9/2018,5030.983585083329,0.3283922492206611,0,0,0,190,14
7/16/2018,4638.6908347231165,0.9219403026381182,0,0,0,197,15
7/23/2018,4209.545798370782,0.3080155122670448,0,0,0,204,16
7/30/2018,4876.008389071623,0.9094852261606342,0,0,0,211,17
8/6/2018,3906.1716890025896,0.2506986472990476,0,0,0,218,18
8/13/2018,3549.8621224301837,0.2364732726008092,0,0,0,225,19
8/20/2018,4025.433955372593,0.4031379321972751,0,0,0,232,20
8/27/2018,3223.306333206948,0.1471777190660976,0,0,0,239,21
9/3/2018,4079.652958724021,0.3630410142948742,0,0,0,246,22
9/10/2018,4156.435573364624,0.1470664903672677,0,0,0,253,23
9/17/2018,3666.877226701928,0.0946704311130968,0,0,0,260,24
9/24/2018,3853.549205981304,0.2592453045714739,0,0,0,267,25
10/1/2018,3531.4719178669834,0.0574838248809166,0,0,0,274,26
10/8/2018,3538.882474497524,0.0206465327906304,0,0,0,281,27
10/15/2018,4261.174491772023,0.1656360489849638,0,0,0,288,28
10/22/2018,4604.517233770198,0.2140071414995498,0,0,0,295,29
10/29/2018,6484.976246026463,0.3605176919784586,0.8006231655964305,0,0,302,30
11/5/2018,5090.872437599736,0.1223685558133026,0,0,0,309,31
11/12/2018,6500.44070674565,0.9586839529289922,0,0,0,316,32
11/19/2018,6434.702003197417,0.3219723439874905,0,0,0,323,33
11/26/2018,7288.09549866718,0.2532340551371886,0.8535269034985401,0,0,330,34
12/3/2018,5249.095623076754,0.0640119796076498,0,0,0,337,35
12/10/2018,4284.737104057953,0.0236553199557775,0,0,0,344,36
12/17/2018,5924.49679469673,0.1831645694402322,0.988597119963436,0,0,351,37
12/24/2018,7770.898864334025,0.925302244565384,0.8704751059413773,0,0,358,38
12/31/2018,6600.779460454854,0.9966581290617555,0,0,0,365,39
1/7/2019,6003.922922839964,0.401689634181351,0,0,0,7,40
1/14/2019,5660.6533288409655,0.1737454605594206,0,0,0,14,41
1/21/2019,5872.741931712915,0.9553726446981964,0,0,0,21,42
1/28/2019,6093.701781337998,0.3558894186650065,0,0,0,28,43
2/4/2019,3994.215758636757,0.0009291813348931,0,0,0,35,44
2/11/2019,4817.419326611659,0.4378156672047245,0,0,0,42,45
2/18/2019,7795.097809495298,0.9739763155567256,0.97486620214348,0,0,49,46
2/25/2019,6447.2216669325935,0.9779039452046228,0,0,0,56,47
3/4/2019,5540.679227096547,0.2481417037518173,0,0,0,63,48
3/11/2019,4949.832359251136,0.4056204092923351,0,0,0,70,49
3/18/2019,6379.898688795682,0.2490409631440019,0.9025728697123772,0,0,77,50
3/25/2019,4764.017185991239,0.0530524843764414,0,0,0,84,51
4/1/2019,4207.851401732056,0.0663217206588347,0,0,0,91,52
4/8/2019,4412.820266564049,0.0919314691185417,0,0,0,98,53
4/15/2019,4346.995203279954,0.2846525646827119,0,0,0,105,54
4/22/2019,6626.698312677127,0.3738453265433722,0.994374311652612,0,0,112,55
4/29/2019,5231.247790028053,0.3110337207908654,0,0,0,119,56
